odel initialized
Skipping user 8 as not enough periods (4862)
08/23/17 04:25:43 Sample 47 of 50 Precision 0.667 Recall 0.5

08/23/17 04:29:03 Sample 48 of 50 Precision 1.0 Recall 0.778

08/23/17 04:32:20 Sample 49 of 50 Precision 0.556 Recall 0.833

08/23/17 04:32:30 UserID 31 Test: Precision 1.0 Recall 1.0

             precision    recall  f1-score   support

        0.0       1.00      1.00      1.00        48
        1.0       1.00      1.00      1.00         2

avg / total       1.00      1.00      1.00        50

08/23/17 04:32:30 User 4 UserID 55 (Total plays [2499])
08/23/17 04:35:44 Sample 0 of 50 Precision 0.0 Recall 0.0

08/23/17 04:38:56 Sample 1 of 50 Precision 0.375 Recall 1.0

08/23/17 04:42:13 Sample 2 of 50 Precision 0.333 Recall 0.5

08/23/17 04:45:26 Sample 3 of 50 Precision 1.0 Recall 1.0

08/23/17 04:48:38 Sample 4 of 50 Precision 0.4 Recall 0.667

08/23/17 04:51:53 Sample 5 of 50 Precision 1.0 Recall 0.5

08/23/17 04:55:12 Sample 6 of 50 Precision 0.5 Recall 0.5

08/23/17 04:58:24 Sample 7 of 50 Precision 0.667 Recall 1.0

08/23/17 05:01:32 Sample 8 of 50 Precision 0.5 Recall 0.5

08/23/17 05:04:40 Sample 9 of 50 Precision 1.0 Recall 0.5

08/23/17 05:07:51 Sample 10 of 50 Precision 1.0 Recall 0.667

08/23/17 05:11:01 Sample 11 of 50 Precision 0.5 Recall 1.0

08/23/17 05:14:15 Sample 12 of 50 Precision 0.75 Recall 0.857

08/23/17 05:17:27 Sample 13 of 50 Precision 1.0 Recall 1.0

08/23/17 05:20:40 Sample 14 of 50 Precision 0.667 Recall 1.0

08/23/17 05:23:51 Sample 15 of 50 Precision 0.857 Recall 0.857

08/23/17 05:27:09 Sample 16 of 50 Precision 0.8 Recall 1.0

08/23/17 05:30:28 Sample 17 of 50 Precision 0.8 Recall 1.0

08/23/17 05:33:45 Sample 18 of 50 Precision 0.667 Recall 1.0

08/23/17 05:36:59 Sample 19 of 50 Precision 0.5 Recall 0.714

08/23/17 05:40:10 Sample 20 of 50 Precision 1.0 Recall 1.0

08/23/17 05:43:23 Sample 21 of 50 Precision 0.2 Recall 0.5

08/23/17 05:46:31 Sample 22 of 50 Precision 0.625 Recall 0.833

08/23/17 05:49:42 Sample 23 of 50 Precision 0.8 Recall 1.0

08/23/17 05:53:02 Sample 24 of 50 Precision 0.4 Recall 1.0

08/23/17 05:56:18 Sample 25 of 50 Precision 0.0 Recall 0.0

08/23/17 05:59:33 Sample 26 of 50 Precision 0.667 Recall 1.0

08/23/17 06:02:47 Sample 27 of 50 Precision 1.0 Recall 1.0

08/23/17 06:06:03 Sample 28 of 50 Precision 0.5 Recall 1.0

08/23/17 06:09:14 Sample 29 of 50 Precision 0.5 Recall 0.5

08/23/17 06:12:25 Sample 30 of 50 Precision 0.0 Recall 0.0

08/23/17 06:15:37 Sample 31 of 50 Precision 0.0 Recall 0.0

08/23/17 06:18:53 Sample 32 of 50 Precision 0.4 Recall 0.667

08/23/17 06:22:03 Sample 33 of 50 Precision 0.0 Recall 0.0

08/23/17 06:25:27 Sample 34 of 50 Precision 1.0 Recall 1.0

08/23/17 06:28:45 Sample 35 of 50 Precision 1.0 Recall 0.667

08/23/17 06:31:55 Sample 36 of 50 Precision 0.0 Recall 0.0

08/23/17 06:35:08 Sample 37 of 50 Precision 0.6 Recall 0.75

08/23/17 06:38:22 Sample 38 of 50 Precision 0.5 Recall 0.333

08/23/17 06:41:35 Sample 39 of 50 Precision 0.5 Recall 0.5

08/23/17 06:44:44 Sample 40 of 50 Precision 0.333 Recall 0.667

08/23/17 06:47:55 Sample 41 of 50 Precision 1.0 Recall 1.0

